orderId,activityId,activityType,price,paymentDate,status
584,584,39,1,155.64,2020-12-16 14:53:00,udane
585,584,99,1,,2020-12-16 14:49:00,udane
586,585,303,1,282.71,2021-03-25 10:19:00,udane
587,585,447,1,,2021-03-25 10:17:00,udane
588,585,449,1,270.26,2021-03-25 10:24:00,udane
589,585,455,1,,2021-03-25 10:25:00,udane
590,586,490,1,180.16,2021-05-23 09:24:00,udane
591,586,532,1,72.15,2021-05-23 09:23:00,udane
592,587,674,1,273.31,2021-07-24 21:04:00,udane
593,587,708,1,76.1,2021-07-24 21:03:00,udane
594,587,730,1,53.72,2021-07-24 21:01:00,udane
595,587,776,1,,2021-07-24 21:09:00,udane
596,587,781,1,236.16,2021-07-24 21:06:00,udane
597,588,894,1,66.72,2021-10-22 15:53:00,udane
598,588,936,1,274.63,2021-10-22 15:48:00,udane
599,588,949,1,127.62,2021-10-22 15:49:00,udane
600,588,1044,1,246.2,2021-10-22 15:54:00,udane
601,589,1135,1,,2022-01-11 14:46:00,udane
602,589,1142,1,151.43,2022-01-11 14:46:00,udane
603,589,1178,1,93.54,2022-01-11 14:53:00,udane
604,589,1276,1,,2022-01-11 14:46:00,udane
605,589,1294,1,256.27,2022-01-11 14:55:00,udane
606,590,1317,1,185.19,2022-03-14 15:36:00,udane
607,590,1318,1,217.75,2022-03-14 15:35:00,udane
608,590,1366,1,271.85,2022-03-14 15:34:00,udane
609,590,1389,1,64.68,2022-03-14 15:32:00,udane
610,590,1403,1,264.77,2022-03-14 15:39:00,udane
611,591,1666,1,162.43,2022-06-21 07:10:00,udane
612,592,1831,1,292.67,2022-08-25 10:48:00,udane
613,592,1924,1,53.05,2022-08-25 10:54:00,udane
614,593,2004,1,,2022-11-01 07:01:00,udane
615,593,2008,1,284.99,2022-11-01 07:07:00,udane
616,593,2028,1,64.87,2022-11-01 07:01:00,udane
617,593,2094,1,213.54,2022-11-01 07:02:00,udane
618,594,2496,1,103.41,2023-04-29 16:54:00,udane
619,594,2499,1,,2023-04-29 16:54:00,udane
