ModuleID,CourseID,ModuleName,ModuleType,LecturerID,LanguageID,TranslatorID
1,1,Moduł 1 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,903,1,
2,1,Moduł 2 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,903,1,
3,1,Moduł 3 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,319,1,
4,1,Moduł 4 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,391,1,
5,1,Moduł 5 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,257,1,
6,1,Moduł 6 kursu 'Tworzenie Aplikacji Webowych: React i Angular',3,808,2,514
7,1,Moduł 7 kursu 'Tworzenie Aplikacji Webowych: React i Angular',1,903,1,
8,2,Moduł 1 kursu 'Statystyka: Narzędzia Analizy Danych',1,765,1,
9,2,Moduł 2 kursu 'Statystyka: Narzędzia Analizy Danych',2,363,7,1058
10,2,Moduł 3 kursu 'Statystyka: Narzędzia Analizy Danych',3,1019,1,
11,2,Moduł 4 kursu 'Statystyka: Narzędzia Analizy Danych',3,772,1,
12,2,Moduł 5 kursu 'Statystyka: Narzędzia Analizy Danych',3,415,5,1042
13,3,Moduł 1 kursu 'Programowanie Funkcyjne: Haskell i Erlang',2,160,1,
14,3,Moduł 2 kursu 'Programowanie Funkcyjne: Haskell i Erlang',1,432,1,
15,3,Moduł 3 kursu 'Programowanie Funkcyjne: Haskell i Erlang',2,370,1,
16,3,Moduł 4 kursu 'Programowanie Funkcyjne: Haskell i Erlang',3,1092,5,1042
17,3,Moduł 5 kursu 'Programowanie Funkcyjne: Haskell i Erlang',1,765,1,
18,3,Moduł 6 kursu 'Programowanie Funkcyjne: Haskell i Erlang',4,511,1,
19,3,Moduł 7 kursu 'Programowanie Funkcyjne: Haskell i Erlang',2,307,1,
20,4,Moduł 1 kursu 'FinTech: Przyszłość Finansów',3,192,8,320
21,4,Moduł 2 kursu 'FinTech: Przyszłość Finansów',3,325,1,
22,4,Moduł 3 kursu 'FinTech: Przyszłość Finansów',1,772,1,
23,4,Moduł 4 kursu 'FinTech: Przyszłość Finansów',1,94,7,836
24,5,Moduł 1 kursu 'Wprowadzenie do DevOps',4,192,1,
25,5,Moduł 2 kursu 'Wprowadzenie do DevOps',2,710,7,469
26,5,Moduł 3 kursu 'Wprowadzenie do DevOps',4,11,1,
27,5,Moduł 4 kursu 'Wprowadzenie do DevOps',1,192,1,
28,5,Moduł 5 kursu 'Wprowadzenie do DevOps',1,482,8,320
29,5,Moduł 6 kursu 'Wprowadzenie do DevOps',3,839,1,
30,6,Moduł 1 kursu 'Tworzenie Aplikacji Mobilnych',3,561,1,
31,6,Moduł 2 kursu 'Tworzenie Aplikacji Mobilnych',2,248,1,
32,6,Moduł 3 kursu 'Tworzenie Aplikacji Mobilnych',2,87,5,1011
33,6,Moduł 4 kursu 'Tworzenie Aplikacji Mobilnych',2,1111,2,246
34,6,Moduł 5 kursu 'Tworzenie Aplikacji Mobilnych',3,257,10,165
35,6,Moduł 6 kursu 'Tworzenie Aplikacji Mobilnych',4,720,1,
36,6,Moduł 7 kursu 'Tworzenie Aplikacji Mobilnych',2,468,1,
37,7,Moduł 1 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',4,1047,1,
38,7,Moduł 2 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',1,1047,7,836
39,7,Moduł 3 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',2,866,1,
40,7,Moduł 4 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',1,370,7,836
41,7,Moduł 5 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',3,776,1,
42,8,Moduł 1 kursu 'Programowanie w Erlangu',3,257,1,
43,8,Moduł 2 kursu 'Programowanie w Erlangu',1,767,9,714
44,8,Moduł 3 kursu 'Programowanie w Erlangu',3,1111,1,
45,8,Moduł 4 kursu 'Programowanie w Erlangu',4,936,1,
46,8,Moduł 5 kursu 'Programowanie w Erlangu',3,266,1,
47,8,Moduł 6 kursu 'Programowanie w Erlangu',1,767,1,
48,8,Moduł 7 kursu 'Programowanie w Erlangu',2,956,1,
49,8,Moduł 8 kursu 'Programowanie w Erlangu',1,741,9,714
50,9,Moduł 1 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',1,741,1,
51,9,Moduł 2 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',4,767,1,
52,9,Moduł 3 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',2,494,1,
53,9,Moduł 4 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',3,1092,1,
54,9,Moduł 5 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',4,160,1,
55,9,Moduł 6 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',4,741,1,
