EmployeeID,HireDate,DegreeID
1,2021-12-30,
3,2023-12-22,2
5,2020-10-26,3
8,2024-12-02,
11,2020-01-08,8
13,2021-09-05,
14,2020-09-14,
20,2024-12-06,6
28,2022-02-25,5
35,2023-04-05,
49,2021-11-22,
50,2023-10-30,2
72,2021-07-07,
74,2024-08-08,8
76,2022-12-18,2
87,2021-11-08,7
88,2024-12-22,
94,2020-07-05,
96,2022-07-17,
97,2024-05-05,1
99,2020-04-11,
103,2022-07-31,4
112,2021-08-09,
113,2024-07-26,
117,2024-05-19,
120,2023-12-13,3
126,2020-06-14,
129,2023-07-31,
133,2021-08-04,1
135,2021-02-27,6
137,2020-12-24,2
138,2021-10-19,
143,2022-05-08,8
148,2024-08-05,
157,2020-04-10,
160,2024-03-14,3
165,2020-07-29,
167,2022-01-31,4
176,2024-03-05,8
181,2022-04-07,
182,2022-12-22,5
184,2024-06-29,3
190,2023-11-08,4
192,2022-03-06,
199,2020-10-15,
203,2022-11-18,4
205,2022-04-19,
206,2020-09-10,
207,2020-11-01,8
208,2021-06-29,3
224,2022-03-10,8
228,2022-03-24,2
233,2022-04-29,6
235,2021-05-13,5
245,2020-08-31,
246,2022-02-03,
247,2022-08-23,5
248,2022-04-06,4
256,2020-03-01,3
257,2022-09-26,2
262,2022-01-21,8
263,2022-03-11,2
265,2021-05-23,8
266,2024-06-17,
269,2023-10-13,
273,2024-09-13,7
277,2020-03-11,
279,2020-10-04,1
284,2023-08-11,4
300,2024-09-19,4
307,2022-05-14,1
314,2022-03-01,1
315,2020-04-28,
316,2021-10-03,8
319,2024-12-20,
320,2021-04-16,5
324,2023-07-03,
325,2023-03-03,3
333,2023-11-08,1
335,2020-09-01,3
336,2024-08-07,
340,2024-01-07,
342,2023-06-04,3
345,2022-02-28,
346,2023-01-03,8
347,2021-06-08,
348,2024-03-29,2
349,2024-11-11,
352,2020-09-05,
353,2023-05-14,6
360,2022-01-25,8
363,2021-02-18,
366,2024-12-10,8
370,2022-12-18,
372,2021-05-04,6
374,2021-12-29,3
391,2022-05-05,
398,2021-10-04,4
402,2023-02-04,6
403,2023-04-09,1
405,2020-04-29,4
410,2020-08-21,8
412,2023-03-28,8
415,2020-07-31,
421,2024-09-07,
423,2023-07-07,
425,2024-08-13,3
432,2023-07-21,
433,2022-06-29,
437,2020-12-31,3
442,2020-09-16,1
451,2020-01-19,
454,2024-07-27,1
456,2024-06-11,
458,2020-03-04,3
461,2023-05-02,5
468,2021-01-22,3
469,2020-06-11,
471,2022-11-19,2
473,2024-11-05,2
475,2022-02-18,
478,2023-08-05,8
480,2022-10-12,4
482,2024-11-21,5
485,2022-03-02,
486,2021-06-06,
492,2022-10-29,
494,2021-08-17,2
495,2024-05-23,4
498,2024-03-26,8
502,2024-03-26,2
507,2023-08-14,4
511,2024-01-29,6
513,2020-10-24,2
514,2020-09-24,
527,2023-04-24,6
531,2023-04-06,4
532,2024-07-16,
534,2021-08-21,1
552,2022-05-27,2
561,2020-08-26,
563,2024-10-25,4
565,2021-11-27,
567,2020-11-14,
580,2024-08-04,
583,2020-10-13,
588,2021-02-06,
591,2021-01-21,
600,2021-01-26,5
605,2023-03-19,
609,2024-07-30,
613,2021-02-15,6
615,2022-05-18,2
619,2023-10-02,6
623,2024-01-24,
625,2020-09-30,1
629,2022-04-20,8
630,2021-07-19,1
631,2023-04-15,
632,2020-08-25,2
633,2024-01-14,8
635,2020-09-14,8
642,2020-01-28,
654,2023-07-12,5
655,2023-12-24,
658,2024-06-01,
661,2023-04-01,4
663,2020-08-12,4
665,2021-12-14,
668,2023-05-09,
670,2022-12-23,
673,2023-07-22,8
678,2021-03-03,
685,2020-02-03,7
687,2023-10-13,
688,2020-10-14,6
692,2023-06-23,6
693,2022-11-19,8
694,2023-03-11,5
698,2022-02-03,4
705,2021-03-06,5
707,2022-09-19,
708,2021-03-08,
710,2020-10-19,
713,2022-05-13,3
714,2022-03-08,
720,2024-04-20,
728,2022-04-17,
729,2022-07-27,6
732,2020-09-14,
734,2021-03-06,5
740,2023-12-31,6
741,2023-06-21,
744,2020-05-28,8
750,2020-06-26,
753,2022-10-05,
763,2023-01-03,
765,2022-09-24,3
767,2022-01-18,
772,2021-06-09,4
776,2021-01-16,
781,2021-09-11,
786,2022-07-22,2
790,2023-08-18,3
792,2022-08-06,6
803,2021-10-17,
806,2021-11-02,
808,2020-05-31,
817,2020-05-22,
821,2023-12-06,2
822,2021-01-03,
825,2020-07-26,3
828,2021-02-20,3
832,2024-03-16,5
835,2020-01-18,3
836,2023-05-08,7
837,2024-10-30,6
839,2021-10-24,3
840,2020-07-08,
849,2024-09-16,7
852,2024-07-06,8
854,2021-05-14,3
857,2021-01-27,1
860,2021-03-29,8
866,2020-08-17,5
867,2024-07-14,
877,2020-02-09,
878,2021-11-21,5
881,2022-12-22,7
898,2021-03-26,
901,2020-06-24,
902,2021-05-16,5
903,2022-01-17,
908,2020-10-09,5
914,2023-04-21,8
918,2020-02-09,7
926,2023-05-01,5
932,2021-06-23,1
936,2020-07-06,
944,2022-04-07,3
946,2020-11-18,
952,2020-11-24,7
953,2022-09-08,4
956,2024-09-10,
958,2024-02-12,5
960,2023-08-08,4
961,2020-09-28,
975,2021-04-01,6
977,2020-12-08,
982,2020-10-25,3
984,2020-05-19,2
989,2021-05-07,3
993,2023-09-29,
1004,2023-12-10,1
1009,2020-04-23,7
1011,2022-10-07,
1019,2020-08-01,
1023,2023-01-16,
1025,2023-11-24,8
1040,2021-08-09,
1042,2022-08-16,2
1046,2021-07-18,
1047,2022-12-23,7
1051,2020-02-12,7
1053,2020-03-21,3
1054,2023-02-23,2
1056,2020-02-26,
1058,2021-08-22,
1069,2020-03-01,8
1072,2021-09-18,7
1086,2022-11-26,1
1087,2022-01-02,
1090,2021-02-06,7
1092,2020-03-24,6
1094,2021-09-17,
1096,2024-02-29,3
1104,2024-08-30,8
1111,2024-08-07,
1113,2023-08-14,
1115,2021-07-10,
1118,2022-04-23,
1122,2023-08-04,
1142,2022-07-29,
1145,2024-08-21,
1153,2021-11-26,
1155,2020-04-07,
1166,2021-06-10,
