InternshipID,StudiesID,InternshipCoordinatorID,StartDate,EndDate,NumberOfHours,Term
1,1,532,2026-11-09,2026-11-23,50,1
2,1,532,2027-05-10,2027-05-24,50,2
3,1,600,2027-12-06,2027-12-20,50,3
4,1,600,2028-04-10,2028-04-24,50,4
5,1,600,2028-12-04,2028-12-18,50,5
6,1,532,2029-05-07,2029-05-21,50,6
7,1,532,2029-11-05,2029-11-19,50,7
8,2,803,2023-11-06,2023-11-20,50,1
9,2,1046,2024-05-13,2024-05-27,50,2
10,2,1046,2024-12-09,2024-12-23,50,3
11,2,600,2025-05-05,2025-05-19,50,4
12,2,600,2025-12-08,2025-12-22,50,5
13,2,1046,2026-04-13,2026-04-27,50,6
14,2,803,2026-12-07,2026-12-21,50,7
15,3,1046,2024-11-04,2024-11-18,50,1
16,3,532,2025-06-02,2025-06-16,50,2
17,3,532,2025-11-03,2025-11-17,50,3
18,3,1046,2026-06-01,2026-06-15,50,4
19,3,803,2026-11-09,2026-11-23,50,5
20,3,803,2027-06-07,2027-06-21,50,6
21,4,803,2020-11-09,2020-11-23,50,1
22,4,803,2021-05-10,2021-05-24,50,2
23,4,1046,2021-11-08,2021-11-22,50,3
24,4,1046,2022-05-09,2022-05-23,50,4
25,4,532,2022-11-07,2022-11-21,50,5
26,4,600,2023-06-05,2023-06-19,50,6
27,5,181,2024-11-04,2024-11-18,50,1
28,5,181,2025-06-02,2025-06-16,50,2
29,5,181,2025-11-03,2025-11-17,50,3
30,5,181,2026-06-01,2026-06-15,50,4
31,5,402,2026-11-09,2026-11-23,50,5
32,5,402,2027-06-07,2027-06-21,50,6
33,5,181,2027-11-08,2027-11-22,50,7
34,6,402,2020-11-09,2020-11-23,50,1
35,6,402,2021-05-10,2021-05-24,50,2
36,6,181,2021-11-08,2021-11-22,50,3
37,6,181,2022-05-09,2022-05-23,50,4
38,6,181,2022-11-07,2022-11-21,50,5
39,6,402,2023-06-05,2023-06-19,50,6
40,6,402,2023-12-04,2023-12-18,50,7
41,7,402,2027-12-06,2027-12-20,50,1
42,7,402,2028-04-10,2028-04-24,50,2
43,7,402,2028-12-04,2028-12-18,50,3
44,7,402,2029-05-07,2029-05-21,50,4
45,7,181,2029-11-05,2029-11-19,50,5
46,7,181,2029-06-04,2029-06-18,50,6
47,8,372,2023-11-06,2023-11-20,50,1
48,8,720,2024-05-13,2024-05-27,50,2
49,8,720,2024-12-09,2024-12-23,50,3
50,8,720,2025-05-05,2025-05-19,50,4
51,8,372,2025-12-08,2025-12-22,50,5
52,8,372,2026-04-13,2026-04-27,50,6
53,8,372,2026-12-07,2026-12-21,50,7
54,9,708,2024-11-04,2024-11-18,50,1
55,9,655,2025-06-02,2025-06-16,50,2
56,9,708,2025-11-03,2025-11-17,50,3
57,9,708,2026-06-01,2026-06-15,50,4
58,9,655,2026-11-09,2026-11-23,50,5
59,9,655,2027-06-07,2027-06-21,50,6
60,9,655,2027-11-08,2027-11-22,50,7
