DetailID,AdvacePrice,PaidDate,PaymentStatus
573,109.0000,2021-10-02 19:45:02.000,udana
574,109.0000,2021-11-01 00:10:02.000,udana
575,41.5000,2024-10-11 11:38:08.000,udana
576,41.5000,2024-10-11 12:28:11.000,udana
577,41.5000,2024-10-11 12:58:07.000,udana
643,105.9,2021-01-07 13:47:00,udane
648,70.0,2021-05-05 12:53:00,udane
658,125.5,2022-02-16 07:04:00,udane
704,154.5,2022-01-26 09:01:00,udane
707,125.5,2022-03-23 17:54:00,udane
710,58.0,2022-06-20 07:10:00,udane
762,137.5,2021-07-08 07:09:00,udane
772,110.5,2022-02-07 10:17:00,udane
790,99.0,2022-11-06 16:20:00,udane
796,52.0,2023-02-21 20:18:00,udane
822,108.0,2021-01-09 11:19:00,udane
824,127.9,2021-01-09 11:16:00,udane
836,136.9,2022-04-21 15:22:00,udane
845,121.5,2022-07-16 18:06:00,udane
852,87.5,2022-11-15 16:47:00,udane
875,116.9,2021-02-12 08:49:00,udane
903,141.9,2022-11-17 21:05:00,udane
904,115.0,2023-01-29 11:55:00,udane
972,86.0,2023-02-02 21:10:00,udane
982,77.5,2023-11-05 10:09:00,udane
1009,63.5,2021-05-25 08:01:00,udane
1013,43.0,2021-09-06 07:09:00,udane
1027,55.5,2022-09-30 21:21:00,udane
1079,48.9,2021-09-20 07:07:00,udane
1101,90.5,2023-12-12 07:03:00,udane
1110,152.0,2024-10-21 10:22:00,udane
1116,134.9,2021-02-27 13:49:00,udane
1120,65.9,2021-05-12 09:08:00,udane
1125,48.9,2021-09-08 07:09:00,udane
1141,124.0,2022-09-20 08:55:00,udane
1147,109.9,2022-11-18 13:40:00,udane
1160,74.9,2023-12-07 15:24:00,udane
1162,90.5,2024-02-15 09:10:00,udane
1163,147.9,2024-02-15 09:09:00,udane
1173,100.5,2024-09-30 08:50:00,udane
1174,152.0,2024-09-30 08:53:00,udane
1177,103.5,2024-12-29 14:19:00,udane
1180,149.0,2024-12-29 14:21:00,udane
1211,47.9,2022-05-23 18:02:00,udane
1223,60.9,2023-11-30 21:04:00,udane
1227,111.0,2024-05-09 09:19:00,udane
1244,86.0,2021-05-20 07:06:00,udane
