DetailID,AdvacePrice,PaidDate,PaymentStatus
573,109.0000,2021-10-02 19:45:02.000,udana
574,109.0000,2021-11-20 18:12:08.000,udana
575,41.5000,2024-10-11 11:38:08.000,udana
576,41.5000,2024-10-11 12:28:11.000,udana
577,41.5000,2024-10-11 12:58:07.000,udana
643,105.9000,2021-01-07 13:47:00.000,udana
648,70.0000,2021-05-05 12:53:00.000,udana
658,125.5000,2022-02-16 07:04:00.000,udana
704,154.5000,2022-01-26 09:01:00.000,udana
707,125.5000,2022-03-23 17:54:00.000,udana
710,58.0000,2022-06-20 07:10:00.000,udana
762,137.5000,2021-07-08 07:09:00.000,udana
772,110.5000,2022-02-07 10:17:00.000,udana
790,99.0000,2022-11-06 16:20:00.000,udana
796,52.0000,2023-02-21 20:18:00.000,udana
822,108.0000,2021-01-09 11:19:00.000,udana
824,127.9000,2021-01-09 11:16:00.000,udana
836,136.9000,2022-04-21 15:22:00.000,udana
845,121.5000,2022-07-16 18:06:00.000,udana
852,87.5000,2022-11-15 16:47:00.000,udana
875,116.9000,2021-02-12 08:49:00.000,udana
903,141.9000,2022-11-17 21:05:00.000,udana
904,115.0000,2023-01-29 11:55:00.000,udana
972,86.0000,2023-02-02 21:10:00.000,udana
982,77.5000,2023-11-05 10:09:00.000,udana
1009,63.5000,2021-05-25 08:01:00.000,udana
1013,43.0000,2021-09-06 07:09:00.000,udana
1027,55.5000,2022-09-30 21:21:00.000,udana
1079,48.9000,2021-09-20 07:07:00.000,udana
1101,90.5000,2023-12-12 07:03:00.000,udana
1110,152.0000,2024-10-21 10:22:00.000,udana
1116,134.9000,2021-02-27 13:49:00.000,udana
1120,65.9000,2021-05-12 09:08:00.000,udana
1125,48.9000,2021-09-08 07:09:00.000,udana
1141,124.0000,2022-09-20 08:55:00.000,udana
1147,109.9000,2022-11-18 13:40:00.000,udana
1160,74.9000,2023-12-07 15:24:00.000,udana
1162,90.5000,2024-02-15 09:10:00.000,udana
1163,147.9000,2024-02-15 09:09:00.000,udana
1173,100.5000,2024-09-30 08:50:00.000,udana
1174,152.0000,2024-09-30 08:53:00.000,udana
1177,103.5000,2024-12-29 14:19:00.000,udana
1180,149.0000,2024-12-29 14:21:00.000,udana
1211,47.9000,2022-05-23 18:02:00.000,udana
1223,60.9000,2023-11-30 21:04:00.000,udana
1227,111.0000,2024-05-09 09:19:00.000,udana
1244,86.0000,2021-05-20 07:06:00.000,udana
1272,143.0000,2023-10-12 08:08:00.000,udana
1317,86.0000,2023-03-06 10:52:00.000,udana
1358,99.5000,2022-05-20 07:02:00.000,udana
1377,105.9000,2023-06-26 10:54:00.000,udana
1397,77.0000,2024-03-06 07:05:00.000,udana
1434,73.5000,2022-05-10 12:16:00.000,udana
1437,121.5000,2022-07-18 13:08:00.000,udana
1465,46.5000,2024-04-18 07:08:00.000,udana
1467,144.5000,2024-04-18 07:01:00.000,udana
1477,108.0000,2020-12-27 07:08:00.000,udana
1478,115.9000,2020-12-27 07:08:00.000,udana
1482,127.9000,2021-02-12 10:09:00.000,udana
1486,40.5000,2021-05-12 07:09:00.000,udana
1506,121.5000,2022-07-31 07:07:00.000,udana
1528,144.5000,2024-04-25 21:02:00.000,udana
1546,101.9000,2021-02-24 08:35:00.000,udana
1553,96.9000,2021-11-21 08:37:00.000,udana
1591,149.9000,2024-05-13 21:09:00.000,udana
1606,77.5000,2021-09-12 13:10:00.000,udana
1639,53.5000,2024-03-04 21:02:00.000,udana
1723,105.9000,2020-12-15 07:09:00.000,udana
1729,70.0000,2021-04-09 07:05:00.000,udana
1741,154.5000,2022-01-19 15:51:00.000,udana
1744,105.5000,2022-03-26 08:46:00.000,udana
1781,121.5000,2024-09-06 13:46:00.000,udana
1805,156.9000,2021-08-15 07:09:00.000,udana
1836,53.0000,2024-01-15 10:32:00.000,udana
1910,41.5000,2024-08-27 07:05:00.000,udana
1965,138.0000,2024-03-23 07:02:00.000,udana
1970,62.0000,2024-06-25 11:53:00.000,udana
2018,107.9000,2024-05-27 13:05:00.000,udana
2025,103.9000,2024-10-31 10:19:00.000,udana
2049,95.5000,2022-04-10 09:25:00.000,udana
2050,110.0000,2022-04-10 09:18:00.000,udana
2053,64.9000,2022-07-01 17:46:00.000,udana
2055,122.9000,2022-07-01 17:46:00.000,udana
2057,124.0000,2022-08-08 12:40:00.000,udana
2059,81.9000,2022-08-08 12:32:00.000,udana
2076,153.9000,2023-11-26 14:10:00.000,udana
2101,40.5000,2021-03-29 14:03:00.000,udana
2121,43.5000,2022-06-04 10:53:00.000,udana
2124,121.5000,2022-07-17 13:03:00.000,udana
2138,72.9000,2023-10-04 08:33:00.000,udana
2140,83.5000,2023-10-04 08:38:00.000,udana
2147,144.5000,2024-06-12 09:49:00.000,udana
2161,63.5000,2021-04-21 07:07:00.000,udana
2162,60.5000,2021-04-21 07:04:00.000,udana
2169,108.0000,2022-04-04 07:02:00.000,udana
2180,57.0000,2023-02-16 13:37:00.000,udana
2188,45.9000,2023-06-16 21:54:00.000,udana
2211,89.9000,2021-03-31 07:10:00.000,udana
2264,67.9000,2021-02-23 12:52:00.000,udana
2275,124.0000,2022-07-06 17:16:00.000,udana
2276,81.9000,2022-07-06 17:16:00.000,udana
2284,44.5000,2023-02-02 07:02:00.000,udana
2297,57.9000,2023-11-15 14:09:00.000,udana
2299,59.9000,2023-11-15 14:08:00.000,udana
2312,149.0000,2024-12-23 08:22:00.000,udana
2325,109.0000,2021-11-09 08:39:00.000,udana
2344,67.9000,2023-04-17 15:46:00.000,udana
2349,105.9000,2023-06-22 07:10:00.000,udana
2375,123.0000,2021-07-08 13:08:00.000,udana
2390,97.0000,2022-03-26 08:50:00.000,udana
2450,136.9000,2022-04-19 07:08:00.000,udana
2485,101.9000,2023-11-02 07:02:00.000,udana
2503,128.5000,2021-01-10 21:04:00.000,udana
2546,105.9000,2023-06-05 07:06:00.000,udana
2550,77.5000,2023-11-04 10:04:00.000,udana
2559,77.0000,2024-04-13 21:48:00.000,udana
2578,67.9000,2021-01-25 15:54:00.000,udana
2595,44.5000,2023-01-04 09:24:00.000,udana
2606,74.9000,2023-11-24 07:09:00.000,udana
2607,57.9000,2023-11-24 07:04:00.000,udana
