MeetingID,SubjectID,LecturerID,MeetingType,MeetingPrice,MeetingPriceForOthers,StartTime,EndTime,LanguageID,TranslatorID
1,89,613,1,125.0000,190.0000,2020-10-02 16:00:00.000,2020-10-02 18:00:00.000,1,
2,89,613,1,125.0000,190.0000,2020-10-16 16:00:00.000,2020-10-16 18:00:00.000,1,
3,89,613,1,125.0000,190.0000,2020-10-30 16:00:00.000,2020-10-30 18:00:00.000,1,
4,89,613,1,125.0000,190.0000,2021-01-22 16:00:00.000,2021-01-22 18:00:00.000,1,
5,89,613,1,125.0000,190.0000,2020-11-27 16:00:00.000,2020-11-27 18:00:00.000,1,
6,89,613,1,125.0000,190.0000,2020-12-11 16:00:00.000,2020-12-11 18:00:00.000,1,
7,89,613,1,125.0000,190.0000,2021-01-08 16:00:00.000,2021-01-08 18:00:00.000,1,
8,90,103,1,170.0000,245.0000,2020-10-02 14:00:00.000,2020-10-02 15:00:00.000,1,
9,90,103,1,170.0000,245.0000,2020-10-16 14:00:00.000,2020-10-16 15:00:00.000,1,
10,90,103,1,170.0000,245.0000,2020-10-30 14:00:00.000,2020-10-30 15:00:00.000,1,
11,90,103,1,170.0000,245.0000,2021-01-22 14:00:00.000,2021-01-22 15:00:00.000,1,
12,90,103,1,170.0000,245.0000,2020-11-27 14:00:00.000,2020-11-27 15:00:00.000,1,
13,90,103,1,170.0000,245.0000,2020-12-11 14:00:00.000,2020-12-11 15:00:00.000,1,
14,90,103,1,170.0000,245.0000,2021-01-08 14:00:00.000,2021-01-08 15:00:00.000,1,
15,91,619,1,90.0000,125.0000,2020-10-03 09:00:00.000,2020-10-03 13:00:00.000,1,
16,91,619,1,90.0000,125.0000,2020-10-17 09:00:00.000,2020-10-17 13:00:00.000,1,
17,91,619,1,90.0000,125.0000,2020-10-31 09:00:00.000,2020-10-31 13:00:00.000,1,
18,91,619,1,90.0000,125.0000,2021-01-23 09:00:00.000,2021-01-23 13:00:00.000,1,
19,91,619,1,90.0000,125.0000,2020-11-28 09:00:00.000,2020-11-28 13:00:00.000,1,
20,91,28,3,90.0000,125.0000,2020-12-12 09:00:00.000,2020-12-12 13:00:00.000,1,
21,91,619,1,90.0000,125.0000,2021-01-09 09:00:00.000,2021-01-09 13:00:00.000,1,
22,92,495,1,90.0000,120.0000,2020-10-03 14:00:00.000,2020-10-03 16:00:00.000,2,88
23,92,495,1,90.0000,120.0000,2020-10-17 14:00:00.000,2020-10-17 16:00:00.000,2,88
24,92,495,1,90.0000,120.0000,2020-10-31 14:00:00.000,2020-10-31 16:00:00.000,2,88
25,92,495,1,90.0000,120.0000,2021-01-23 14:00:00.000,2021-01-23 16:00:00.000,2,88
26,92,495,1,90.0000,120.0000,2020-11-28 14:00:00.000,2020-11-28 16:00:00.000,2,88
27,92,495,1,90.0000,120.0000,2020-12-12 14:00:00.000,2020-12-12 16:00:00.000,2,88
28,92,495,1,90.0000,120.0000,2021-01-09 14:00:00.000,2021-01-09 16:00:00.000,2,88
29,93,335,1,85.0000,120.0000,2020-10-04 09:00:00.000,2020-10-04 10:00:00.000,1,
30,93,335,1,85.0000,120.0000,2020-10-18 09:00:00.000,2020-10-18 10:00:00.000,1,
31,93,335,1,85.0000,120.0000,2020-11-01 09:00:00.000,2020-11-01 10:00:00.000,1,
32,93,335,1,85.0000,120.0000,2021-01-24 09:00:00.000,2021-01-24 10:00:00.000,1,
33,93,335,1,85.0000,120.0000,2020-11-29 09:00:00.000,2020-11-29 10:00:00.000,1,
34,93,335,1,85.0000,120.0000,2020-12-13 09:00:00.000,2020-12-13 10:00:00.000,1,
35,93,335,1,85.0000,120.0000,2021-01-10 09:00:00.000,2021-01-10 10:00:00.000,1,
36,94,613,1,150.0000,300.0000,2021-03-05 11:00:00.000,2021-03-05 14:00:00.000,1,
37,94,613,1,150.0000,300.0000,2021-03-19 11:00:00.000,2021-03-19 14:00:00.000,1,
38,94,613,1,150.0000,300.0000,2021-04-02 11:00:00.000,2021-04-02 14:00:00.000,1,
