WebinarID,WebinarName,WebinarDescription,TeacherID,Price,LanguageID,TranslatorID,StartDate,EndDate,VideoLink,MeetingLink
1,Praktyczne wskazówki dla przedsiębiorców,Nasz zaawansowany webinar 'praktyczne wskazówki dla przedsiębiorców'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,14,83.95,1,,01.01.2021 13:30,01.01.2021 16:00,https://www.webinaries-videos.com/watch?v=Praktyczne-wskazówki-dla-przedsiębiorców-1,https://meet.google.com/Praktyczne-wskazówki-dla-przedsiębiorców-1
2,Zarządzanie relacjami z klientami,Nasz innowacyjny webinar 'zarządzanie relacjami z klientami'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,157,227.28,1,,01.01.2021 20:30,01.01.2021 21:45,https://www.webinaries-videos.com/watch?v=Zarządzanie-relacjami-z-klientami-2,https://meet.google.com/Zarządzanie-relacjami-z-klientami-2
3,Zarządzanie projektami,Nasz kompleksowy webinar 'zarządzanie projektami'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,817,287.98,1,,02.01.2021 09:00,02.01.2021 10:30,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-3,https://meet.google.com/Zarządzanie-projektami-3
4,Zarządzanie projektami inwestycyjnymi,Nasz strategiczny webinar 'zarządzanie projektami inwestycyjnymi'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,14,250.7,1,,02.01.2021 12:15,02.01.2021 14:00,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-inwestycyjnymi-4,https://meet.google.com/Zarządzanie-projektami-inwestycyjnymi-4
5,Zarządzanie projektami politycznymi,Nasz praktyczny webinar 'zarządzanie projektami politycznymi'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,126,77.77,1,,02.01.2021 20:30,02.01.2021 21:45,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-politycznymi-5,https://meet.google.com/Zarządzanie-projektami-politycznymi-5
6,Zarządzanie projektami badawczymi,Nasz zaawansowany webinar 'zarządzanie projektami badawczymi'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,952,274.29,10,165,03.01.2021 07:00,03.01.2021 08:45,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-badawczymi-6,https://meet.google.com/Zarządzanie-projektami-badawczymi-6
7,Zarządzanie sprzedażą,Nasz praktyczny webinar 'zarządzanie sprzedażą'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,982,162.55,1,,03.01.2021 07:00,03.01.2021 09:00,https://www.webinaries-videos.com/watch?v=Zarządzanie-sprzedażą-7,https://meet.google.com/Zarządzanie-sprzedażą-7
8,Zarządzanie konfliktami,Nasz innowacyjny webinar 'zarządzanie konfliktami'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,750,77.14,1,,03.01.2021 19:15,03.01.2021 21:00,https://www.webinaries-videos.com/watch?v=Zarządzanie-konfliktami-8,https://meet.google.com/Zarządzanie-konfliktami-8
9,Zarządzanie projektami rolniczymi,Nasz zaawansowany webinar 'zarządzanie projektami rolniczymi'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,157,84.05,4,750,03.01.2021 20:30,03.01.2021 22:00,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-rolniczymi-9,https://meet.google.com/Zarządzanie-projektami-rolniczymi-9
10,Zarządzanie projektami zdrowotnymi,Nasz innowacyjny webinar 'zarządzanie projektami zdrowotnymi'. Dołącz aby rozwijać swoje umiejętności i być na bieżąco w dziedzinie.,514,104.08,5,732,04.01.2021 07:00,04.01.2021 08:15,https://www.webinaries-videos.com/watch?v=Zarządzanie-projektami-zdrowotnymi-10,https://meet.google.com/Zarządzanie-projektami-zdrowotnymi-10
