WebinarID,WebinarName,WebinarDescription,TeacherID,Price,LanguageID,TranslatorID,StartDate,EndDate,VideoLink,MeetingLink
1,Praktyczne wskazówki dla przedsiebiorców,Nasz zaawansowany webinar 'praktyczne wskazówki dla przedsiebiorców'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,83.9500,1,,2021-01-01 13:30:00.000,2021-01-01 16:00:00.000,https://www.webinaries-videos.com/watch?v=Praktyczne-wskazówki-dla-przedsiebiorców-1,https://meet.google.com/Praktyczne-wskazówki-dla-przedsiebiorców-1
2,Zarzadzanie relacjami z klientami,Nasz innowacyjny webinar 'zarzadzanie relacjami z klientami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,157,227.2800,1,,2021-01-01 20:30:00.000,2021-01-01 21:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-relacjami-z-klientami-2,https://meet.google.com/Zarzadzanie-relacjami-z-klientami-2
3,Zarzadzanie projektami,Nasz kompleksowy webinar 'zarzadzanie projektami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,817,287.9800,1,,2021-01-02 09:00:00.000,2021-01-02 10:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-3,https://meet.google.com/Zarzadzanie-projektami-3
4,Zarzadzanie projektami inwestycyjnymi,Nasz strategiczny webinar 'zarzadzanie projektami inwestycyjnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,250.7000,1,,2021-01-02 12:15:00.000,2021-01-02 14:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-inwestycyjnymi-4,https://meet.google.com/Zarzadzanie-projektami-inwestycyjnymi-4
5,Zarzadzanie projektami politycznymi,Nasz praktyczny webinar 'zarzadzanie projektami politycznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,126,77.7700,1,,2021-01-02 20:30:00.000,2021-01-02 21:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-politycznymi-5,https://meet.google.com/Zarzadzanie-projektami-politycznymi-5
6,Zarzadzanie projektami badawczymi,Nasz zaawansowany webinar 'zarzadzanie projektami badawczymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,274.2900,10,165,2021-01-03 07:00:00.000,2021-01-03 08:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-badawczymi-6,https://meet.google.com/Zarzadzanie-projektami-badawczymi-6
7,Zarzadzanie sprzedaza,Nasz praktyczny webinar 'zarzadzanie sprzedaza'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,982,162.5500,1,,2021-01-03 07:00:00.000,2021-01-03 09:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-sprzedaza-7,https://meet.google.com/Zarzadzanie-sprzedaza-7
8,Zarzadzanie konfliktami,Nasz innowacyjny webinar 'zarzadzanie konfliktami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,77.1400,1,,2021-01-03 19:15:00.000,2021-01-03 21:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-konfliktami-8,https://meet.google.com/Zarzadzanie-konfliktami-8
9,Zarzadzanie projektami rolniczymi,Nasz zaawansowany webinar 'zarzadzanie projektami rolniczymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,157,84.0500,4,750,2021-01-03 20:30:00.000,2021-01-03 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-rolniczymi-9,https://meet.google.com/Zarzadzanie-projektami-rolniczymi-9
10,Zarzadzanie projektami zdrowotnymi,Nasz innowacyjny webinar 'zarzadzanie projektami zdrowotnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,514,104.0800,5,732,2021-01-04 07:00:00.000,2021-01-04 08:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-zdrowotnymi-10,https://meet.google.com/Zarzadzanie-projektami-zdrowotnymi-10
11,Analiza rynku,Nasz dynamiczny webinar 'analiza rynku'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,103.8800,1,,2021-01-04 07:00:00.000,2021-01-04 08:00:00.000,https://www.webinaries-videos.com/watch?v=Analiza-rynku-11,https://meet.google.com/Analiza-rynku-11
12,Zarzadzanie ryzykiem,Nasz skuteczny webinar 'zarzadzanie ryzykiem'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,51.3300,1,,2021-01-04 07:00:00.000,2021-01-04 08:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-ryzykiem-12,https://meet.google.com/Zarzadzanie-ryzykiem-12
13,Kreatywne myslenie,Nasz innowacyjny webinar 'kreatywne myslenie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,514,278.2500,2,632,2021-01-04 10:15:00.000,2021-01-04 12:30:00.000,https://www.webinaries-videos.com/watch?v=Kreatywne-myslenie-13,https://meet.google.com/Kreatywne-myslenie-13
14,Zarzadzanie projektami,Nasz strategiczny webinar 'zarzadzanie projektami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,126,257.2600,1,,2021-01-05 07:00:00.000,2021-01-05 08:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-14,https://meet.google.com/Zarzadzanie-projektami-14
15,Umiejetnosci komunikacyjne,Nasz skuteczny webinar 'umiejetnosci komunikacyjne'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,256.8500,1,,2021-01-05 08:30:00.000,2021-01-05 10:45:00.000,https://www.webinaries-videos.com/watch?v=Umiejetnosci-komunikacyjne-15,https://meet.google.com/Umiejetnosci-komunikacyjne-15
16,Zasady projektowania UX/UI,Nasz strategiczny webinar 'zasady projektowania ux/ui'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,221.4200,1,,2021-01-06 10:45:00.000,2021-01-06 11:30:00.000,https://www.webinaries-videos.com/watch?v=Zasady-projektowania-UX/UI-16,https://meet.google.com/Zasady-projektowania-UX/UI-16
17,Zarzadzanie projektami,Nasz skuteczny webinar 'zarzadzanie projektami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,76.8900,7,352,2021-01-06 12:00:00.000,2021-01-06 13:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-17,https://meet.google.com/Zarzadzanie-projektami-17
18,Kreatywne myslenie,Nasz zaawansowany webinar 'kreatywne myslenie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,80.6400,1,,2021-01-06 20:45:00.000,2021-01-06 21:30:00.000,https://www.webinaries-videos.com/watch?v=Kreatywne-myslenie-18,https://meet.google.com/Kreatywne-myslenie-18
19,Zarzadzanie projektami rolniczymi,Nasz dynamiczny webinar 'zarzadzanie projektami rolniczymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,,1,,2021-01-07 21:00:00.000,2021-01-07 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-rolniczymi-19,https://meet.google.com/Zarzadzanie-projektami-rolniczymi-19
20,Zarzadzanie projektami sportowymi,Nasz zaawansowany webinar 'zarzadzanie projektami sportowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,235.7500,4,663,2021-01-08 07:00:00.000,2021-01-08 07:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-sportowymi-20,https://meet.google.com/Zarzadzanie-projektami-sportowymi-20
21,Innowacje w biznesie,Nasz zaawansowany webinar 'innowacje w biznesie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,257.9200,1,,2021-01-10 07:00:00.000,2021-01-10 08:30:00.000,https://www.webinaries-videos.com/watch?v=Innowacje-w-biznesie-21,https://meet.google.com/Innowacje-w-biznesie-21
22,Zarzadzanie projektami artystycznymi,Nasz skuteczny webinar 'zarzadzanie projektami artystycznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,182.0600,1,,2021-01-10 07:00:00.000,2021-01-10 09:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-artystycznymi-22,https://meet.google.com/Zarzadzanie-projektami-artystycznymi-22
23,Zarzadzanie Czasem,Nasz innowacyjny webinar 'zarzadzanie czasem'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,154.1700,1,,2021-01-10 10:45:00.000,2021-01-10 13:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-Czasem-23,https://meet.google.com/Zarzadzanie-Czasem-23
24,Techniki sprzedazy produktów w IT,Nasz strategiczny webinar 'techniki sprzedazy produktów w it'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,245,,1,,2021-01-11 11:00:00.000,2021-01-11 12:00:00.000,https://www.webinaries-videos.com/watch?v=Techniki-sprzedazy-produktów-w-IT-24,https://meet.google.com/Techniki-sprzedazy-produktów-w-IT-24
25,Strategie rozwoju biznesu,Nasz skuteczny webinar 'strategie rozwoju biznesu'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,982,71.8000,1,,2021-01-11 12:00:00.000,2021-01-11 13:30:00.000,https://www.webinaries-videos.com/watch?v=Strategie-rozwoju-biznesu-25,https://meet.google.com/Strategie-rozwoju-biznesu-25
26,Innowacje w biznesie,Nasz dynamiczny webinar 'innowacje w biznesie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,108.6500,4,663,2021-01-11 15:15:00.000,2021-01-11 16:45:00.000,https://www.webinaries-videos.com/watch?v=Innowacje-w-biznesie-26,https://meet.google.com/Innowacje-w-biznesie-26
27,Zarzadzanie wiedza,Nasz kompleksowy webinar 'zarzadzanie wiedza'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,157,144.3400,1,,2021-01-11 17:30:00.000,2021-01-11 19:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-wiedza-27,https://meet.google.com/Zarzadzanie-wiedza-27
28,Przygotowanie do egzaminów certyfikacyjn,Nasz kompleksowy webinar 'przygotowanie do egzaminów certyfikacyjnych'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,977,299.0700,5,822,2021-01-12 07:15:00.000,2021-01-12 09:45:00.000,https://www.webinaries-videos.com/watch?v=Przygotowanie-do-egzaminów-certyfikacyjnych-28,https://meet.google.com/Przygotowanie-do-egzaminów-certyfikacyjnych-28
29,Analiza Danych,Nasz zaawansowany webinar 'analiza danych'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,982,113.0300,1,,2021-01-13 07:00:00.000,2021-01-13 08:15:00.000,https://www.webinaries-videos.com/watch?v=Analiza-Danych-29,https://meet.google.com/Analiza-Danych-29
30,Zarzadzanie projektami medialnymi,Nasz praktyczny webinar 'zarzadzanie projektami medialnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,245,135.6400,7,352,2021-01-14 07:00:00.000,2021-01-14 09:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-medialnymi-30,https://meet.google.com/Zarzadzanie-projektami-medialnymi-30
31,Zarzadzanie projektami kulturalnymi,Nasz kompleksowy webinar 'zarzadzanie projektami kulturalnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,982,245.8000,1,,2021-01-14 09:00:00.000,2021-01-14 10:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-kulturalnymi-31,https://meet.google.com/Zarzadzanie-projektami-kulturalnymi-31
32,Zarzadzanie projektami zdrowotnymi,Nasz zaawansowany webinar 'zarzadzanie projektami zdrowotnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,,1,,2021-01-14 16:00:00.000,2021-01-14 17:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-zdrowotnymi-32,https://meet.google.com/Zarzadzanie-projektami-zdrowotnymi-32
33,Zarzadzanie finansami,Nasz zaawansowany webinar 'zarzadzanie finansami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,152.9300,1,,2021-01-14 21:00:00.000,2021-01-14 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-finansami-33,https://meet.google.com/Zarzadzanie-finansami-33
