MeetingID,ModuleID,StartTime,EndTIme
1,1,2023-05-08 11:00,2023-05-08 12:00
2,1,2023-05-08 16:30,2023-05-08 17:15
3,2,2023-05-08 12:00,2023-05-08 12:45
4,2,2023-05-08 09:00,2023-05-08 09:45
5,2,2023-05-08 12:45,2023-05-08 13:30
6,3,2023-05-08 15:00,2023-05-08 15:45
7,3,2023-05-08 11:15,2023-05-08 12:00
8,3,2023-05-08 13:30,2023-05-08 14:30
9,3,2023-05-08 09:45,2023-05-08 10:30
10,4,2023-05-08 13:15,2023-05-08 14:00
11,4,2023-05-08 14:00,2023-05-08 15:30
12,4,2023-05-08 08:45,2023-05-08 09:45
13,5,2023-05-01 09:30,2023-05-01 10:15
14,5,2023-05-01 12:30,2023-05-01 13:15
15,5,2023-05-01 11:15,2023-05-01 12:00
16,5,2023-05-01 13:15,2023-05-01 14:15
17,6,2023-04-27 16:30,2023-04-27 18:00
18,6,2023-04-27 08:45,2023-04-27 10:15
19,6,2023-04-27 10:45,2023-04-27 12:15
20,7,2023-04-25 14:15,2023-04-25 15:45
21,7,2023-04-25 10:00,2023-04-25 10:45
22,8,2023-07-19 10:15,2023-07-19 11:45
23,8,2023-07-19 17:45,2023-07-19 19:15
24,9,2023-07-19 08:45,2023-07-19 09:30
25,9,2023-07-19 17:30,2023-07-19 19:00
26,9,2023-07-19 10:45,2023-07-19 11:45
27,10,2023-07-12 12:45,2023-07-12 13:45
28,10,2023-07-12 11:00,2023-07-12 12:00
29,10,2023-07-12 10:00,2023-07-12 10:45
30,11,2023-07-10 12:15,2023-07-10 13:00
31,11,2023-07-10 16:00,2023-07-10 17:00
32,11,2023-07-10 08:30,2023-07-10 10:00
33,11,2023-07-10 13:00,2023-07-10 14:30
34,12,2023-07-24 12:30,2023-07-24 13:15
35,12,2023-07-24 13:30,2023-07-24 14:15
36,12,2023-07-24 17:45,2023-07-24 19:15
37,12,2023-07-24 09:15,2023-07-24 10:45
38,13,2022-08-15 13:30,2022-08-15 14:15
39,13,2022-08-15 16:15,2022-08-15 17:00
40,13,2022-08-15 14:15,2022-08-15 15:45
41,14,2022-08-11 11:00,2022-08-11 12:00
42,14,2022-08-11 08:15,2022-08-11 09:00
43,14,2022-08-11 14:00,2022-08-11 15:30
44,14,2022-08-11 12:15,2022-08-11 13:45
45,15,2022-08-17 14:15,2022-08-17 15:45
46,15,2022-08-17 15:45,2022-08-17 16:45
47,16,2022-08-15 09:45,2022-08-15 11:15
48,16,2022-08-15 11:30,2022-08-15 12:30
49,17,2022-08-18 10:00,2022-08-18 11:30
50,17,2022-08-18 17:30,2022-08-18 18:15
51,18,2022-08-17 16:15,2022-08-17 17:15
52,18,2022-08-17 12:15,2022-08-17 13:45
53,19,2022-08-22 09:00,2022-08-22 10:30
54,19,2022-08-22 11:45,2022-08-22 12:30
55,19,2022-08-22 13:15,2022-08-22 14:15
56,19,2022-08-22 17:00,2022-08-22 17:45
57,20,2025-06-16 13:30,2025-06-16 15:00
58,20,2025-06-16 10:30,2025-06-16 12:00
59,20,2025-06-16 08:30,2025-06-16 09:15
60,20,2025-06-16 15:30,2025-06-16 16:30
61,21,2025-06-09 12:15,2025-06-09 13:00
62,21,2025-06-09 08:00,2025-06-09 09:30
63,22,2025-06-09 16:15,2025-06-09 17:00
64,22,2025-06-09 12:30,2025-06-09 13:15
65,22,2025-06-09 08:30,2025-06-09 09:30
66,23,2025-06-12 16:30,2025-06-12 17:15
67,23,2025-06-12 12:00,2025-06-12 12:45
68,24,2023-05-29 14:30,2023-05-29 15:30
69,24,2023-05-29 09:00,2023-05-29 09:45
70,24,2023-05-29 15:45,2023-05-29 16:45
71,24,2023-05-29 11:30,2023-05-29 12:15
72,25,2023-05-29 16:45,2023-05-29 17:30
73,25,2023-05-29 17:30,2023-05-29 18:15
74,25,2023-05-29 13:15,2023-05-29 14:45
75,26,2023-06-05 10:00,2023-06-05 11:00
76,26,2023-06-05 13:30,2023-06-05 14:15
