ModuleID,CourseID,ModuleName,ModuleType,LecturerID,LanguageID,TranslatorID
1,1,Moduł 1 kursu 'Tworzenie Aplikacji Webowych: React i Angular',4,772,6,340
2,1,Moduł 2 kursu 'Tworzenie Aplikacji Webowych: React i Angular',2,840,1,
3,1,Moduł 3 kursu 'Tworzenie Aplikacji Webowych: React i Angular',3,1019,9,714
4,1,Moduł 4 kursu 'Tworzenie Aplikacji Webowych: React i Angular',3,415,1,
5,1,Moduł 5 kursu 'Tworzenie Aplikacji Webowych: React i Angular',1,918,2,349
6,1,Moduł 6 kursu 'Tworzenie Aplikacji Webowych: React i Angular',3,776,8,320
7,1,Moduł 7 kursu 'Tworzenie Aplikacji Webowych: React i Angular',1,918,1,
8,2,Moduł 1 kursu 'Statystyka: Narzędzia Analizy Danych',1,767,9,685
9,2,Moduł 2 kursu 'Statystyka: Narzędzia Analizy Danych',3,94,1,
10,2,Moduł 3 kursu 'Statystyka: Narzędzia Analizy Danych',3,902,1,
11,3,Moduł 1 kursu 'Programowanie Funkcyjne: Haskell i Erlang',1,112,1,
12,3,Moduł 2 kursu 'Programowanie Funkcyjne: Haskell i Erlang',2,710,1,
13,3,Moduł 3 kursu 'Programowanie Funkcyjne: Haskell i Erlang',3,148,1,
14,4,Moduł 1 kursu 'FinTech: Przyszłość Finansów',2,248,3,708
15,4,Moduł 2 kursu 'FinTech: Przyszłość Finansów',1,96,7,1058
16,4,Moduł 3 kursu 'FinTech: Przyszłość Finansów',3,325,3,781
17,4,Moduł 4 kursu 'FinTech: Przyszłość Finansów',3,1047,1,
18,4,Moduł 5 kursu 'FinTech: Przyszłość Finansów',1,776,10,165
19,4,Moduł 6 kursu 'FinTech: Przyszłość Finansów',2,1104,6,806
20,4,Moduł 7 kursu 'FinTech: Przyszłość Finansów',1,776,1,
21,5,Moduł 1 kursu 'Wprowadzenie do DevOps',1,363,2,138
22,5,Moduł 2 kursu 'Wprowadzenie do DevOps',4,707,1,
23,5,Moduł 3 kursu 'Wprowadzenie do DevOps',3,94,1,
24,5,Moduł 4 kursu 'Wprowadzenie do DevOps',1,423,5,822
25,5,Moduł 5 kursu 'Wprowadzenie do DevOps',3,391,1,
26,5,Moduł 6 kursu 'Wprowadzenie do DevOps',2,561,9,685
27,6,Moduł 1 kursu 'Tworzenie Aplikacji Mobilnych',3,1019,8,277
28,6,Moduł 2 kursu 'Tworzenie Aplikacji Mobilnych',1,492,1,
29,6,Moduł 3 kursu 'Tworzenie Aplikacji Mobilnych',1,1,4,750
30,6,Moduł 4 kursu 'Tworzenie Aplikacji Mobilnych',1,432,1,
31,6,Moduł 5 kursu 'Tworzenie Aplikacji Mobilnych',2,511,1,
32,6,Moduł 6 kursu 'Tworzenie Aplikacji Mobilnych',1,511,1,
33,6,Moduł 7 kursu 'Tworzenie Aplikacji Mobilnych',2,1019,1,
34,7,Moduł 1 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',1,11,1,
35,7,Moduł 2 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',2,319,1,
36,7,Moduł 3 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',4,129,1,
37,7,Moduł 4 kursu 'Tworzenie Aplikacji E-commerce: Magento i Shopify',2,776,1,
38,8,Moduł 1 kursu 'Programowanie w Erlangu',4,410,1,
39,8,Moduł 2 kursu 'Programowanie w Erlangu',2,471,2,138
40,8,Moduł 3 kursu 'Programowanie w Erlangu',3,710,9,685
41,8,Moduł 4 kursu 'Programowanie w Erlangu',2,561,7,352
42,8,Moduł 5 kursu 'Programowanie w Erlangu',4,588,1,
43,8,Moduł 6 kursu 'Programowanie w Erlangu',3,623,3,708
44,9,Moduł 1 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',3,839,1,
45,9,Moduł 2 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',1,94,1,
46,9,Moduł 3 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',1,1111,1,
